[ 2024-10-31 17:10:55,262 ] 20 root - INFO - Initiate the data ingestion
[ 2024-10-31 17:10:57,041 ] 65 root - INFO - Performed train test split on the dataframe
[ 2024-10-31 17:10:57,041 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2024-10-31 17:10:57,041 ] 75 root - INFO - Exporting train and test file path.
[ 2024-10-31 17:10:57,109 ] 84 root - INFO - Exported train and test file path.
[ 2024-10-31 17:10:57,109 ] 22 root - INFO - Data Initiation Completed
[ 2024-10-31 17:10:57,117 ] 26 root - INFO - Initiate the data Validation
[ 2024-10-31 17:10:57,142 ] 32 root - INFO - Required number of columns:2
[ 2024-10-31 17:10:57,142 ] 33 root - INFO - Data frame has columns:31
[ 2024-10-31 17:10:57,142 ] 32 root - INFO - Required number of columns:2
[ 2024-10-31 17:10:57,142 ] 33 root - INFO - Data frame has columns:31
[ 2024-10-31 17:10:57,315 ] 28 root - INFO - data Validation Completed
[ 2024-10-31 17:10:57,315 ] 31 root - INFO - data Transformation started
[ 2024-10-31 17:10:57,315 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2024-10-31 17:10:57,315 ] 65 root - INFO - Starting data transformation
[ 2024-10-31 17:10:57,343 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2024-10-31 17:10:57,343 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2024-10-31 17:10:57,355 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2024-10-31 17:10:57,357 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2024-10-31 17:10:57,357 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2024-10-31 17:10:57,360 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2024-10-31 17:10:57,361 ] 35 root - INFO - data Transformation completed
[ 2024-10-31 17:10:57,361 ] 37 root - INFO - Model Training sstared
