[ 2024-10-31 17:03:12,311 ] 20 root - INFO - Initiate the data ingestion
[ 2024-10-31 17:03:14,447 ] 65 root - INFO - Performed train test split on the dataframe
[ 2024-10-31 17:03:14,447 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2024-10-31 17:03:14,447 ] 75 root - INFO - Exporting train and test file path.
[ 2024-10-31 17:03:14,517 ] 84 root - INFO - Exported train and test file path.
[ 2024-10-31 17:03:14,517 ] 22 root - INFO - Data Initiation Completed
[ 2024-10-31 17:03:14,526 ] 26 root - INFO - Initiate the data Validation
[ 2024-10-31 17:03:14,555 ] 32 root - INFO - Required number of columns:2
[ 2024-10-31 17:03:14,555 ] 33 root - INFO - Data frame has columns:31
[ 2024-10-31 17:03:14,555 ] 32 root - INFO - Required number of columns:2
[ 2024-10-31 17:03:14,555 ] 33 root - INFO - Data frame has columns:31
[ 2024-10-31 17:03:14,708 ] 28 root - INFO - data Validation Completed
[ 2024-10-31 17:03:14,709 ] 31 root - INFO - data Transformation started
[ 2024-10-31 17:03:14,709 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2024-10-31 17:03:14,709 ] 65 root - INFO - Starting data transformation
[ 2024-10-31 17:03:14,739 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2024-10-31 17:03:14,739 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2024-10-31 17:03:14,756 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2024-10-31 17:03:14,759 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2024-10-31 17:03:14,759 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2024-10-31 17:03:14,761 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2024-10-31 17:03:14,761 ] 35 root - INFO - data Transformation completed
[ 2024-10-31 17:03:14,762 ] 37 root - INFO - Model Training sstared
