[ 2024-10-31 16:41:57,585 ] 20 root - INFO - Initiate the data ingestion
[ 2024-10-31 16:41:59,525 ] 65 root - INFO - Performed train test split on the dataframe
[ 2024-10-31 16:41:59,525 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2024-10-31 16:41:59,525 ] 75 root - INFO - Exporting train and test file path.
[ 2024-10-31 16:41:59,593 ] 84 root - INFO - Exported train and test file path.
[ 2024-10-31 16:41:59,593 ] 22 root - INFO - Data Initiation Completed
[ 2024-10-31 16:41:59,600 ] 26 root - INFO - Initiate the data Validation
[ 2024-10-31 16:41:59,624 ] 32 root - INFO - Required number of columns:2
[ 2024-10-31 16:41:59,624 ] 33 root - INFO - Data frame has columns:31
[ 2024-10-31 16:41:59,624 ] 32 root - INFO - Required number of columns:2
[ 2024-10-31 16:41:59,624 ] 33 root - INFO - Data frame has columns:31
[ 2024-10-31 16:41:59,786 ] 28 root - INFO - data Validation Completed
[ 2024-10-31 16:41:59,786 ] 31 root - INFO - data Transformation started
[ 2024-10-31 16:41:59,786 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2024-10-31 16:41:59,786 ] 65 root - INFO - Starting data transformation
[ 2024-10-31 16:41:59,813 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2024-10-31 16:41:59,813 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2024-10-31 16:41:59,825 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2024-10-31 16:41:59,826 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2024-10-31 16:41:59,826 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2024-10-31 16:41:59,828 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2024-10-31 16:41:59,828 ] 35 root - INFO - data Transformation completed
[ 2024-10-31 16:41:59,828 ] 37 root - INFO - Model Training sstared
